,Subject ID,Gender,DOB,Test date,2nd Test date,interval,Age,First task,testing order,ToM_ass_T,ToM,Germ_ass_T,Germ,Psych_ass_T,Psycho,ToM_ass1,ToM_ass2,ToM_ass3,ToM_ass4,ToM_ass5,ToM_ass6,germ-Chris,germ-Dana,germ-Casey,germ-Riley,germ-Jordan,germ-Andy,psy-Charlie,psy-August,psy-Aiden,psy-Alex,psy-Ari,psy-Blake,check-Taylor,check-Gray,check-London,crayoncheck1,crayoncheck2,crayoncheck3,bandaidcheck1,bandaidcheck2,bandaidcheck3,SallyAnnecheck1,SallyAnnecheck2,beliefemotioncheck1,beliefemotioncheck2,ToM checking,Other checking,all checking,total yes in germ&psy,London,yesnobias,NewGerm,Germ
59,KS-11,Male,12/5/12,4/23/18,4/27/18,4,5.383561644,andy,B2C1A1,1,table,2,temp,1,phone(tummy),0,0,0,0,1,0,n,n,y,y,n,n,n,y,n,n,n,n,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0.666666667,0.846153846,3,1,0,3,temp
17,IEP1-125,Female,6/14/13,12/8/17,12/12/17,4,4.484599589,Andy,C2A2B1,2,table,3,breakfast,1,email(foot),0,0,0,0,1,1,n,y,y,n,n,y,y,n,n,n,n,n,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333,0.846153846,4,1,0,0,breakfast
58,KS-9,Female,11/16/12,4/23/18,4/27/18,4,5.435616438,Andy,C2A1B1,3,door,3,temp,1,phone(tummy),0,1,0,1,1,0,n,y,y,n,y,n,n,y,n,n,n,n,1,0,1,1,1,1,1,1,1,1,0,0,1,0.777777778,0.666666667,0.769230769,4,1,0,3,temp
7,CCLC36,Female,6/2/13,11/17/17,11/21/17,4,4.459958932,crayon ,A1B1C1,1,table,4,breakfast,1,phone(tummy),0,0,0,0,0,1,n,y,y,y,n,y,n,n,n,n,y,n,0,1,1,1,1,1,1,1,1,0,1,0,1,0.777777778,0.666666667,0.769230769,5,1,0,1,breakfast
9,CCLC28,Male,12/9/12,11/28/17,12/1/17,3,4.969199179,crayon ,C1A2B1,4,table,4,temp,1,phone(tummy),1,0,1,0,1,1,n,y,n,y,y,y,n,n,n,y,n,n,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,0,2,temp
10,CCLC22,Female,8/16/13,11/28/17,12/1/17,3,4.284736482,crayon ,B1A2C2,2,table,1,breakfast,4,email(foot),0,0,0,0,1,1,n,n,y,n,n,n,n,n,y,y,y,y,0,1,0,1,1,1,1,1,1,0,1,0,1,0.777777778,0.333333333,0.692307692,5,0,0,0,breakfast
38,LS-68,Male,12/8/12,2/23/18,2/26/18,3,5.21,crayon,A1B1C1,0,table,2,temp,3,email(foot),0,0,0,0,0,0,n,n,y,y,n,n,n,n,y,y,n,y,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.923076923,5,1,0,1,temp
54,RL-2,Male,2/27/13,4/9/18,4/12/18,3,5.49,Andy,C1A2B2,1,door,3,temp,2,phone(tummy),0,0,0,0,1,0,y,n,n,y,n,y,n,n,n,y,y,n,1,0,0,1,1,1,1,1,1,1,1,0,0,0.888888889,0.333333333,0.692307692,5,0,0,2,temp
8,CCLC17,Female,12/16/17,11/17/17,11/21/17,4,3.920602,crayon ,A1B2C2,0,table,1,temp,5,email(foot),0,0,0,0,0,0,n,n,n,y,n,n,y,y,n,y,y,y,0,1,0,1,1,1,1,1,1,1,0,1,0,0.888888889,0.333333333,0.692307692,6,0,0,1,temp
13,IEP1-123,Female,10/17/12,12/8/17,12/12/17,4,5.141683778,Andy,A1B1C2,2,table,3,temp,3,email(foot),0,0,0,1,1,0,y,y,n,n,n,y,y,n,y,n,y,n,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0.333333333,0.769230769,6,0,0,1,temp
14,IEP1-127,Female,6/3/13,12/8/17,12/12/17,4,4.514715948,Andy,C1A1B2,1,door,3,temp,3,phone(tummy),0,0,0,0,1,0,n,y,y,y,n,n,y,n,y,y,n,n,1,0,1,1,1,1,1,1,1,0,1,1,1,0.888888889,0.666666667,0.846153846,6,1,0,1,temp
23,IEP2-39,Female,5/12/13,1/26/18,1/29/18,3,4.709103354,Andy,A1B2C1,4,table,5,temp,1,phone(tummy),1,1,1,1,0,0,y,y,n,y,y,y,n,n,y,n,n,n,1,1,1,1,1,1,1,1,1,1,0,1,0,0.888888889,1,0.846153846,6,1,0,3,temp
26,IEP1-121,Female,11/14/13,2/2/18,2/5/18,3,4.219028063,crayon,B1C1A2,0,table,2,temp,4,phone(tummy),0,0,0,0,0,0,y,n,y,n,n,n,n,y,n,y,y,y,0,0,0,1,1,1,1,0,1,1,1,1,0,0.888888889,0,0.615384615,6,0,0,1,temp
32,IEP2-59,Female,6/25/13,2/8/18,2/12/18,4,4.624229979,crayon,A1B1C1,2,table,1,breakfast,5,phone(tummy),1,0,0,0,0,1,n,n,n,n,n,y,y,y,y,y,y,n,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0.769230769,6,0,0,0,breakfast
41,LS-33,Male,9/22/12,3/1/18,3/5/18,4,5.44,Andy,A2B2C2,1,table,6,temp,0,email(foot),0,0,1,0,0,0,y,y,y,y,y,y,n,n,n,n,n,n,1,1,1,1,1,1,1,1,1,1,0,1,1,0.888888889,1,0.923076923,6,1,0,3,temp
62,WC-4,Male,11/8/12,4/26/18,5/3/18,7,5.46201232,crayon,B1C2A2,5,door,4,breakfast,2,email(foot),1,1,1,1,0,1,y,y,y,n,n,y,n,y,n,y,n,n,1,1,1,1,1,1,1,1,1,1,0,0,1,0.777777778,1,0.846153846,6,1,0,3,temp
16,IEP1-95,Female,2/5/13,12/8/17,12/12/17,4,4.837782341,Andy,A2B2C1,1,door,5,breakfast,2,phone(tummy),0,0,0,0,0,1,y,y,y,y,y,n,y,n,n,n,n,y,1,1,0,1,1,1,1,1,1,0,1,1,1,0.888888889,0.666666667,0.846153846,7,0,0,3,breakfast
40,LS-22,Male,10/22/12,2/23/18,2/26/18,3,5.34,crayon,A2B1C1,0,table,4,temp,3,phone(tummy),0,0,0,0,0,0,y,y,y,y,n,n,y,n,n,y,n,y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,0,2,temp
44,LS-34,Female,5/25/12,3/1/18,3/5/18,4,5.77,Andy,C2A2B1,6,door,5,breakfast,2,email(foot),1,1,1,1,1,1,y,y,n,y,y,y,n,n,y,y,n,n,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,0,3,breakfast
68,OLF-1,male,7/16/13,5/4/18,5/10/18,6,4.8,crayon,C2A2B2,0,door,3,temp,4,email(foot),0,0,0,0,0,0,y,n,n,n,y,y,y,y,y,y,n,n,1,1,1,0,0,0,1,1,1,1,0,0,1,0.444444444,1,0.615384615,7,1,0,3,temp
71,GD-9,Male,41256,43228,43234,6,5.4,andy,C1A1B2,5,table,3,temp,4,email(foot),1,1,1,1,1,0,n,y,y,n,y,n,y,n,y,y,y,n,1,0,1,1,1,1,0,0,0,1,1,1,1,0.666666667,0.666666667,0.692307692,7,1,0,3,temp
11,CCLC29,Female,11/16/13,12/1/17,12/5/17,4,4.041067762,Andy,B1C2A2,0,door,4,breakfast,4,email(foot),0,0,0,0,0,0,n,y,y,y,n,y,y,y,n,y,y,n,0,1,0,1,1,1,1,1,1,0,1,1,0,0.888888889,0.333333333,0.692307692,8,0,0,1,breakfast
12,CCLC37,Male,4/30/14,12/1/17,12/5/17,4,3.589322382,Andy,A2B2C1,0,door,4,temp,4,phone(tummy),0,0,0,0,0,0,n,y,n,y,y,y,y,n,n,y,y,y,0,1,0,1,1,1,1,1,0,0,0,1,1,0.666666667,0.333333333,0.615384615,8,0,0,2,temp
29,IEP2-61,Male,5/7/14,2/8/18,2/12/18,4,3.759069131,crayon,B2C1A1,2,table,5,breakfast,3,email(foot),0,1,0,0,0,1,n,y,y,y,y,y,n,n,n,y,y,y,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.923076923,8,1,0,2,breakfast
57,WC-6,Male,12/17/12,4/16/18,4/19/18,3,5.33,Andy,A1B1C1,5,door,6,temp,2,email(foot),1,1,0,1,1,1,y,y,y,y,y,y,y,n,y,n,n,n,1,1,1,1,1,1,1,1,1,1,0,1,1,0.888888889,1,0.923076923,8,1,0,3,temp
60,KS-5,Female,7/8/13,4/23/18,4/30/18,7,4.794520548,andy,A1B2C2,0,table,4,breakfast,4,phone(tummy),0,0,0,0,0,0,y,y,y,n,y,n,y,n,y,y,n,y,0,1,0,1,1,1,1,1,1,1,1,0,0,0.888888889,0.333333333,0.692307692,8,0,0,3,temp
69,GD-8,male,9/26/12,5/8/18,5/14/18,6,5.62,andy,B1C1A1,6,door,6,temp,2,email(foot),1,1,1,1,1,1,y,y,y,y,y,y,n,y,n,n,y,n,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.923076923,8,1,0,3,temp
19,IEP2-65,Female,12/11/12,1/26/18,2/1/18,6,5.125256674,Andy,A2B2C2,0,table,4,breakfast,5,email(foot),0,0,0,0,0,0,n,n,y,y,y,y,y,y,y,y,y,n,1,1,1,1,1,1,1,1,1,1,0,0,0,0.777777778,1,0.769230769,9,1,0,2,breakfast
33,IEP1-118,Male,12/4/13,2/16/18,2/22/18,6,4.2,crayon,A1B2C2,2,door,3,temp,6,phone(tummy),0,0,1,0,1,0,y,n,n,n,y,y,y,y,y,y,y,y,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.923076923,9,1,0,2,temp
42,LS-54,Male,2/16/12,3/1/18,3/5/18,4,6.04,Andy,C1A1B1,3,door,6,temp,3,email(foot),0,1,0,1,1,0,y,y,y,y,y,y,y,n,y,y,n,n,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.923076923,9,1,0,3,temp
43,LS-44,Female,9/10/12,3/1/18,3/5/18,4,5.47,Andy,B1C2A1,0,table,5,temp,4,phone(tummy),0,0,0,0,0,0,y,y,y,y,y,n,n,y,n,y,y,y,1,1,1,1,1,1,1,1,1,1,0,1,1,0.888888889,1,0.923076923,9,1,0,3,temp
50,RL-11,Female,10/14/12,4/9/18,4/12/18,3,5.49,Andy,A1B2C1,2,table,5,temp,4,email(foot),1,1,0,0,0,0,y,y,y,y,y,n,y,y,y,y,n,n,1,0,1,1,1,1,1,1,0,1,1,1,1,0.888888889,0.666666667,0.846153846,9,1,0,3,temp
52,RL-1,Male,3/13/13,4/9/18,4/12/18,3,5.08,Andy,B1C1A2,5,door,6,temp,3,phone(tummy),1,1,1,1,1,0,y,y,y,y,y,y,y,n,n,y,y,n,1,1,1,1,1,1,1,1,1,1,0,1,1,0.888888889,1,0.923076923,9,1,0,3,temp
55,Zoo1,Male,11/9/11,4/3/18,4/5/18,2,6.4,crayon,C1A1B1,5,door,6,breakfast,3,email(foot),1,1,1,1,1,0,y,y,y,y,y,y,y,n,n,y,n,y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,0,3,breakfast
56,Zoo2,Female,3/3/12,4/3/18,4/5/18,2,6.09,crayons,B1C2A1,5,door,6,breakfast,3,email(foot),1,1,1,0,1,1,y,y,y,y,y,y,n,n,y,y,y,n,1,1,1,1,1,1,1,0,0,1,0,0,1,0.555555556,1,0.692307692,9,1,0,3,breakfast
72,GD-20,female,41275,43228,43234,6,5.35,andy,B2C2A1,5,door,6,temp,3,email(foot),1,1,1,1,1,0,y,y,y,y,y,y,y,n,y,y,n,n,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.923076923,9,1,0,3,temp
27,IEP1-103,Female,1/27/13,2/2/18,2/5/18,3,5.015742642,crayon,C1A2B2,0,table,6,temp,4,phone(tummy),0,0,0,0,0,0,y,y,y,y,y,y,n,n,y,y,y,y,0,1,1,1,1,1,1,0,1,1,1,0,0,0.777777778,0.666666667,0.692307692,10,1,0,3,temp
51,RL-8,Female,2/24/13,4/9/18,4/12/18,3,5.12,Andy,C2A1B2,5,door,6,temp,4,phone(tummy),1,1,1,1,1,0,y,y,y,y,y,y,y,n,y,y,y,n,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,0,3,temp
67,OLF-3,Female,4/29/13,5/4/18,5/10/18,6,5.02,crayon,B1C2A2,2,door,6,breakfast,4,email(foot),0,0,1,0,1,0,y,y,y,y,y,y,y,n,n,y,y,y,1,1,1,0,0,0,1,1,1,1,0,1,1,0.555555556,1,0.692307692,10,1,0,3,temp
75,GD-12,male,41401,43228,43234,6,5.01,andy,B2C1A2,4,door,6,temp,4,phone(tummy),0,1,0,1,1,1,y,y,y,y,y,y,y,n,y,y,y,n,1,1,1,1,1,1,1,1,1,1,1,0,1,0.888888889,1,0.923076923,10,1,0,3,temp
73,GD-21,female,41381,43228,43234,6,5.06,andy,A2B1C1,1,table,6,temp,4,email(foot),0,0,0,0,0,1,y,y,y,y,y,y,y,y,y,y,n,n,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.923076923,10,0,0,3,temp
35,IEP1-113,male,3/10/14,2/16/18,2/22/18,6,3.94,crayon,B1C2A2,4,table,6,breakfast,5,email(foot),1,1,1,0,0,1,y,y,y,y,y,y,y,y,y,y,y,n,0,1,1,1,0,0,1,1,0,1,0,0,1,0.444444444,0.666666667,0.538461538,11,1,0,3,breakfast
36,LS-53,Male,1/22/13,2/23/18,2/26/18,3,5.09,crayon,C2A2B2,2,door,5,temp,6,phone(tummy),0,0,0,0,1,1,y,y,y,y,n,y,y,y,y,y,y,y,0,1,1,1,1,1,1,1,0,1,1,0,1,0.777777778,0.666666667,0.769230769,11,1,0,2,temp
5,CCLC06,Male,8/6/12,11/17/17,11/28/17,11,5.281314168,crayon ,B2C1A1,3,table,6,temp,5,email(foot),1,0,1,0,1,0,y,y,y,y,y,y,y,y,y,y,y,n,1,1,0,1,1,1,1,1,1,0,1,1,0,0.888888889,0.666666667,0.769230769,11,0,1,3,temp
6,CCLC05,Female,8/6/12,11/17/17,11/28/17,11,5.281314168,crayon ,C1A1B1,1,door,6,temp,5,email(foot),0,0,0,0,1,0,y,y,y,y,y,y,y,n,y,y,y,y,1,1,0,1,1,1,1,1,1,1,1,0,1,0.888888889,0.666666667,0.846153846,11,0,1,3,temp
45,LS-3,Female,5/17/12,3/1/18,3/5/18,4,5.79,Andy,B2C1A2,4,table,6,temp,5,email(foot),0,1,0,1,1,1,y,y,y,y,y,y,y,y,y,y,y,n,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.333333333,0.846153846,11,0,1,3,temp
18,IEP2-64,Female,11/6/12,1/26/18,1/29/18,3,5.221081451,Andy,B2C1A2,5,table,6,temp,6,email(foot),1,1,1,1,1,0,y,y,y,y,y,y,y,y,y,y,y,y,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.923076923,12,1,1,3,temp
70,GD-14,male,41250,43228,43234,6,5.42,andy,A1B1C2,6,door,6,breakfast,6,phone(tummy),1,1,1,1,1,1,y,y,y,y,y,y,y,y,y,y,y,y,1,1,1,0,0,0,1,1,1,1,1,1,1,0.666666667,1,0.769230769,12,1,1,3,temp
20,IEP2-67,Male,6/19/13,1/26/18,1/29/18,3,4.605065024,Andy,C1A1B1,4,table,6,temp,6,phone(tummy),0,1,0,1,1,1,y,y,y,y,y,y,y,y,y,y,y,y,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.666666667,0.923076923,12,0,1,3,temp
25,IEP1-114,Male,2/26/14,2/2/18,2/22/18,20,3.934291581,crayon,A2B2C1,1,door,6,temp,6,phone(tummy),0,0,0,0,1,0,y,y,y,y,y,y,y,y,y,y,y,y,1,1,0,1,1,1,1,0,1,1,1,0,0,0.777777778,0.666666667,0.692307692,12,0,1,3,temp
34,IEP1-122,Male,6/26/14,2/16/18,2/22/18,6,3.64,crayon,C1A2B1,6,table,6,temp,6,email(foot),1,1,1,1,1,1,y,y,y,y,y,y,y,y,y,y,y,y,1,1,0,1,1,0,1,1,1,1,1,1,1,0.888888889,0.666666667,0.846153846,12,0,1,3,temp
66,OLF-2,female,6/3/13,5/4/18,5/10/18,6,4.92,crayon,A2B2C1,1,door,6,breakfast,6,phone(tummy),0,0,0,0,0,1,y,y,y,y,y,y,y,y,y,y,y,y,1,1,0,0,0,0,1,1,1,1,1,0,1,0.555555556,0.666666667,0.615384615,12,0,1,3,temp
